window_low,window_high,k,S_star,Q90
1800,1900,1.5,0.0,2.4693
1800,1900,2.0,0.0,2.4693
1800,1900,2.5,0.0121,2.4693
1900,2000,1.5,0.0,2.3157
1900,2000,2.0,0.0,2.3157
1900,2000,2.5,0.0736,2.3157
2000,2100,1.5,0.0,2.2407
2000,2100,2.0,0.0,2.2407
2000,2100,2.5,0.1036,2.2407
2100,2200,1.5,0.0,2.5113
2100,2200,2.0,0.0,2.5113
2100,2200,2.5,0.0,2.5113
2200,2300,1.5,0.0,2.0937
2200,2300,2.0,0.0,2.0937
2200,2300,2.5,0.1623,2.0937
2300,2400,1.5,0.0,1.8884
2300,2400,2.0,0.0556,1.8884
2300,2400,2.5,0.2445,1.8884
